Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,24,Angola,2016,Female,45 to 49 years old,-,-,18.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,24,Angola,2016,Female,15 to 19 years old,-,-,24.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,24,Angola,2016,Female,25 to 29 years old,-,-,28,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,15 to 49 years old,-,-,27.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,30 to 34 years old,-,-,28.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,35 to 39 years old,-,-,26.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,40 to 44 years old,-,-,22.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,20 to 24 years old,-,-,34.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,45 to 49 years old,-,-,21.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,15 to 19 years old,-,-,37.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,108,Burundi,2017,Female,25 to 29 years old,-,-,29,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,15 to 49 years old,-,-,32.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,30 to 34 years old,-,-,35.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,35 to 39 years old,-,-,35.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,40 to 44 years old,-,-,31.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,20 to 24 years old,-,-,32.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,45 to 49 years old,-,-,28.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,15 to 19 years old,-,-,27.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,120,Cameroon,2014,Female,25 to 29 years old,-,-,32.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,132,Cabo Verde,2005,Female,15 to 49 years old,-,-,7.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,140,Central African Republic,2006,Female,15 to 49 years old,-,-,26.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,140,Central African Republic,2006,Female,15 to 19 years old,-,-,31.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,140,Central African Republic,2006,Female,30 to 39 years old,-,-,22.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,140,Central African Republic,2006,Female,20 to 29 years old,-,-,29.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,140,Central African Republic,2006,Female,40 to 49 years old,-,-,16.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,15 to 49 years old,-,-,17.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,30 to 34 years old,-,-,19.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,35 to 39 years old,-,-,18.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,40 to 44 years old,-,-,13.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,20 to 24 years old,-,-,19.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,45 to 49 years old,-,-,14,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,15 to 19 years old,-,-,14.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,148,Chad,2015,Female,25 to 29 years old,-,-,18.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,15 to 49 years old,-,-,4.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,30 to 34 years old,-,-,4.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,35 to 39 years old,-,-,3.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,40 to 44 years old,-,-,2.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,20 to 24 years old,-,-,7.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,45 to 49 years old,-,-,6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,15 to 19 years old,-,-,3.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,174,Comoros,2012,Female,25 to 29 years old,-,-,5.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,15 to 49 years old,-,-,36.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,30 to 34 years old,-,-,38.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,35 to 39 years old,-,-,30.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,40 to 44 years old,-,-,29.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,20 to 24 years old,-,-,41.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,45 to 49 years old,-,-,27.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,15 to 19 years old,-,-,36.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,25 to 29 years old,-,-,42.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,15 to 49 years old,-,-,43.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,20 to 24 years old,-,-,56.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,15 to 19 years old,-,-,56.1,-,-,Percentage,Country data,-,Based on 25-49 unweighted cases,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,25 to 29 years old,-,-,58.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,30 to 39 years old,-,-,31.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,40 to 49 years old,-,-,35.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,15 to 49 years old,-,-,19.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,30 to 34 years old,-,-,18.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,35 to 39 years old,-,-,18.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,40 to 44 years old,-,-,17.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,20 to 24 years old,-,-,23.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,45 to 49 years old,-,-,18.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,15 to 19 years old,-,-,24.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,231,Ethiopia,2016,Female,25 to 29 years old,-,-,20.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,15 to 49 years old,-,-,31.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,30 to 34 years old,-,-,29.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,35 to 39 years old,-,-,22.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,40 to 44 years old,-,-,27.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,20 to 24 years old,-,-,43.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,45 to 49 years old,-,-,32.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,15 to 19 years old,-,-,40.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,266,Gabon,2012,Female,25 to 29 years old,-,-,32.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,15 to 49 years old,-,-,7.3,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,30 to 34 years old,-,-,8.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,35 to 39 years old,-,-,6.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,40 to 44 years old,-,-,6.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,20 to 24 years old,-,-,6.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,45 to 49 years old,-,-,1.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,15 to 19 years old,-,-,5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,270,Gambia,2013,Female,25 to 29 years old,-,-,10.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,15 to 49 years old,-,-,19.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,30 to 34 years old,-,-,15.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,35 to 39 years old,-,-,21.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,40 to 44 years old,-,-,18.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,20 to 24 years old,-,-,21,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,45 to 49 years old,-,-,17.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,15 to 19 years old,-,-,22.8,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,288,Ghana,2008,Female,25 to 29 years old,-,-,19.7,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,15 to 49 years old,-,-,22,-,-,Percentage,Country data,-,Refers to currently married girls and women,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,30 to 34 years old,-,-,19.9,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,35 to 39 years old,-,-,22.8,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,40 to 44 years old,-,-,19.2,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,20 to 24 years old,-,-,26.2,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,45 to 49 years old,-,-,20.3,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,15 to 19 years old,-,-,19.1,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,25 to 29 years old,-,-,23.7,-,-,Percentage,Country data,-,Currently married,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,404,Kenya,2014,Female,15 to 49 years old,-,-,25.5,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,404,Kenya,2014,Female,30 to 34 years old,-,-,24.6,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,404,Kenya,2014,Female,35 to 39 years old,-,-,26.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Proportion of ever-partnered women and girls aged 15 years and older subjected to physical  sexual or psychological violence by a current or former intimate partner in the previous 12 months  by form of violence and by age,Sub-Saharan Africa,404,Kenya,2014,Female,40 to 44 years old,-,-,20.2,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
